activity	time	p	p_peak	p_smooth
1	1440	6190476.19047619	0.6190476190476191	0.6190476190476191
2	1440	7777777.777777778	0.7777777777777778	0.7777777777777778
3	1440	7142857.142857143	0.7142857142857143	0.7142857142857143
4	1440	4782608.695652174	0.4782608695652174	0.4782608695652174
5	1440	5714285.714285714	0.5714285714285714	0.5714285714285714
1	1441	3809523.8095238092	0.38095238095238093	0.42857142857142855
2	1441	2222222.222222222	0.2222222222222222	0.5185185185185185
3	1441	3214285.7142857146	0.32142857142857145	0.4523809523809524
4	1441	3043478.2608695654	0.30434782608695654	0.36231884057971014
5	1441	1428571.4285714284	0.14285714285714285	0.3333333333333333
1	1442	2857142.857142857	0.2857142857142857	0.31746031746031744
2	1442	5555555.555555556	0.5555555555555556	0.46296296296296297
3	1442	3214285.7142857146	0.32142857142857145	0.28571428571428575
4	1442	3043478.2608695654	0.30434782608695654	0.30434782608695654
5	1442	2857142.857142857	0.2857142857142857	0.19047619047619047
1	1443	2857142.857142857	0.2857142857142857	0.25396825396825395
2	1443	6111111.111111112	0.6111111111111112	0.4444444444444445
3	1443	2142857.1428571427	0.21428571428571427	0.25
4	1443	3043478.2608695654	0.30434782608695654	0.2463768115942029
1	1444	1904761.9047619046	0.19047619047619047	0.17460317460317457
2	1444	1666666.6666666665	0.16666666666666666	0.35185185185185186
3	1444	2142857.1428571427	0.21428571428571427	0.20238095238095236
4	1444	1304347.8260869565	0.13043478260869565	0.30434782608695654
5	1444	1428571.4285714284	0.14285714285714285	0.19047619047619047
1	1445	476190.47619047615	0.047619047619047616	0.09523809523809523
2	1445	2777777.777777778	0.2777777777777778	0.16666666666666666
3	1445	1785714.2857142857	0.17857142857142858	0.2380952380952381
4	1445	4782608.695652174	0.4782608695652174	0.2898550724637681
5	1445	1428571.4285714284	0.14285714285714285	0.14285714285714285
1	1446	476190.47619047615	0.047619047619047616	0.12698412698412698
2	1446	555555.5555555555	0.05555555555555555	0.22222222222222224
4	1446	2608695.652173913	0.2608695652173913	0.27536231884057966
1	1447	2857142.857142857	0.2857142857142857	0.2222222222222222
2	1447	3333333.333333333	0.3333333333333333	0.27777777777777773
3	1447	3214285.7142857146	0.32142857142857145	0.25
4	1447	869565.2173913043	0.08695652173913043	0.18840579710144925
5	1447	1428571.4285714284	0.14285714285714285	0.3333333333333333
1	1448	3333333.333333333	0.3333333333333333	0.36507936507936506
2	1448	4444444.444444444	0.4444444444444444	0.3703703703703703
3	1448	2500000	0.25	0.2857142857142857
4	1448	2173913.0434782607	0.21739130434782608	0.24637681159420288
5	1448	7142857.142857143	0.7142857142857143	0.3333333333333333
1	1449	4761904.761904761	0.4761904761904761	0.42857142857142855
2	1449	3333333.333333333	0.3333333333333333	0.4259259259259259
3	1449	2857142.857142857	0.2857142857142857	0.28571428571428575
4	1449	4347826.0869565215	0.43478260869565216	0.3768115942028986
5	1449	1428571.4285714284	0.14285714285714285	0.38095238095238093
1	1450	4761904.761904761	0.4761904761904761	0.46031746031746024
2	1450	5000000	0.5	0.5185185185185185
